Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
S7,SE - P.O. (1),12_2019,4619,12,2019
S8,SE - P.O. (2),12_2019,4774,12,2019
T3,UEMSTAyCM CMM,12_2019,199,12,2019
U6,UNAM,12_2019,9376,12,2019
A3,UEMSTAyCM CBTA,13_2019,272,13,2019
B0,Bachilleres,13_2019,12707,13,2019
C1,CONALEP,13_2019,8991,13,2019
D4,UEMSTIS,13_2019,13558,13,2019
G2,Dirección General del Bachillerato,13_2019,500,13,2019
I5,IPN,13_2019,9853,13,2019
M9,UAEM,13_2019,57,13,2019
NO,Desconocido,13_2019,243194,13,2019
S0,SE - COBAEM,13_2019,801,13,2019
S1,SE - CONALEP ESTADO DE MÉXICO,13_2019,2419,13,2019
S2,SE - TELEBACHILLERATO,13_2019,239,13,2019
S4,SE - CBT,13_2019,1979,13,2019
S5,SE - CECYTEM,13_2019,1434,13,2019
S7,SE - P.O. (1),13_2019,3459,13,2019
S8,SE - P.O. (2),13_2019,3629,13,2019
T3,UEMSTAyCM CMM,13_2019,188,13,2019
U6,UNAM,13_2019,6879,13,2019
A3,UEMSTAyCM CBTA,14_2019,254,14,2019
B0,Bachilleres,14_2019,10391,14,2019
C1,CONALEP,14_2019,7918,14,2019
D4,UEMSTIS,14_2019,11547,14,2019
G2,Dirección General del Bachillerato,14_2019,374,14,2019
I5,IPN,14_2019,7856,14,2019
M9,UAEM,14_2019,46,14,2019
NO,Desconocido,14_2019,255313,14,2019
S0,SE - COBAEM,14_2019,634,14,2019
S1,SE - CONALEP ESTADO DE MÉXICO,14_2019,1969,14,2019
S2,SE - TELEBACHILLERATO,14_2019,193,14,2019
S4,SE - CBT,14_2019,1564,14,2019
S5,SE - CECYTEM,14_2019,1146,14,2019
S7,SE - P.O. (1),14_2019,2704,14,2019
S8,SE - P.O. (2),14_2019,2969,14,2019
T3,UEMSTAyCM CMM,14_2019,175,14,2019
U6,UNAM,14_2019,5106,14,2019
A3,UEMSTAyCM CBTA,15_2019,216,15,2019
B0,Bachilleres,15_2019,8443,15,2019
C1,CONALEP,15_2019,7076,15,2019
D4,UEMSTIS,15_2019,9965,15,2019
G2,Dirección General del Bachillerato,15_2019,334,15,2019
I5,IPN,15_2019,6388,15,2019
M9,UAEM,15_2019,46,15,2019
NO,Desconocido,15_2019,264576,15,2019
S0,SE - COBAEM,15_2019,584,15,2019
S1,SE - CONALEP ESTADO DE MÉXICO,15_2019,1676,15,2019
S2,SE - TELEBACHILLERATO,15_2019,162,15,2019
S4,SE - CBT,15_2019,1314,15,2019
S5,SE - CECYTEM,15_2019,984,15,2019
S7,SE - P.O. (1),15_2019,2274,15,2019
S8,SE - P.O. (2),15_2019,2548,15,2019
T3,UEMSTAyCM CMM,15_2019,139,15,2019
U6,UNAM,15_2019,3434,15,2019
A3,UEMSTAyCM CBTA,16_2019,176,16,2019
B0,Bachilleres,16_2019,6137,16,2019
C1,CONALEP,16_2019,5534,16,2019
D4,UEMSTIS,16_2019,7835,16,2019
G2,Dirección General del Bachillerato,16_2019,282,16,2019
I5,IPN,16_2019,4692,16,2019
M9,UAEM,16_2019,29,16,2019
NO,Desconocido,16_2019,276080,16,2019
S0,SE - COBAEM,16_2019,373,16,2019
S1,SE - CONALEP ESTADO DE MÉXICO,16_2019,1174,16,2019
S2,SE - TELEBACHILLERATO,16_2019,129,16,2019
S4,SE - CBT,16_2019,954,16,2019
S5,SE - CECYTEM,16_2019,708,16,2019
S7,SE - P.O. (1),16_2019,1621,16,2019
S8,SE - P.O. (2),16_2019,1857,16,2019
T3,UEMSTAyCM CMM,16_2019,131,16,2019
U6,UNAM,16_2019,2447,16,2019
A3,UEMSTAyCM CBTA,17_2019,123,17,2019
B0,Bachilleres,17_2019,4975,17,2019
C1,CONALEP,17_2019,4892,17,2019
D4,UEMSTIS,17_2019,6473,17,2019
G2,Dirección General del Bachillerato,17_2019,218,17,2019
I5,IPN,17_2019,3550,17,2019
M9,UAEM,17_2019,18,17,2019
NO,Desconocido,17_2019,282072,17,2019
S0,SE - COBAEM,17_2019,336,17,2019
S1,SE - CONALEP ESTADO DE MÉXICO,17_2019,1025,17,2019
S2,SE - TELEBACHILLERATO,17_2019,116,17,2019
S4,SE - CBT,17_2019,799,17,2019
S5,SE - CECYTEM,17_2019,544,17,2019
S7,SE - P.O. (1),17_2019,1368,17,2019
S8,SE - P.O. (2),17_2019,1526,17,2019
T3,UEMSTAyCM CMM,17_2019,126,17,2019
U6,UNAM,17_2019,1998,17,2019
A3,UEMSTAyCM CBTA,18_2019,128,18,2019
B0,Bachilleres,18_2019,4097,18,2019
C1,CONALEP,18_2019,4376,18,2019
D4,UEMSTIS,18_2019,5357,18,2019
G2,Dirección General del Bachillerato,18_2019,170,18,2019
